time,ax,ay,az,atotal
0.008404970169067383,0.11,-0.03,-0.54,0.55
0.013162851333618164,-0.03,0.06,0.21,0.22
0.02309393882751465,0.01,0.03,0.1,0.1
0.033106088638305664,-0.01,0.04,0.12,0.12
0.04281783103942871,0.01,0.04,0.08,0.09
0.06122994422912598,-0.01,0.04,0.12,0.12
0.06291604042053223,0.0,0.03,0.1,0.1
0.07240796089172363,0.01,0.04,0.1,0.1
0.08273196220397949,0.01,0.03,0.11,0.11
0.0924680233001709,0.01,0.04,0.11,0.11
0.10256004333496094,0.01,0.03,0.11,0.11
0.11242890357971191,0.01,0.04,0.11,0.11
0.12333989143371582,0.0,0.04,0.11,0.11
0.13288092613220215,0.0,0.04,0.11,0.11
0.14370203018188477,0.01,0.03,0.11,0.11
0.16419696807861328,0.0,0.04,0.11,0.11
0.1657249927520752,0.0,0.03,0.1,0.1
0.17250514030456543,0.01,0.04,0.11,0.11
0.18303704261779785,0.01,0.03,0.11,0.11
0.19224190711975098,0.01,0.04,0.1,0.1
0.2022850513458252,0.02,0.03,0.1,0.1
0.21285796165466309,0.0,0.03,0.1,0.1
0.22236204147338867,0.0,0.03,0.11,0.11
0.23297905921936035,0.01,0.04,0.11,0.11
0.24271798133850098,0.0,0.03,0.11,0.11
0.26457810401916504,0.01,0.04,0.1,0.1
0.266373872756958,0.01,0.04,0.11,0.11
0.2717878818511963,0.01,0.03,0.11,0.11
0.2816610336303711,0.01,0.03,0.11,0.11
0.2921130657196045,0.01,0.04,0.1,0.1
0.302044153213501,0.0,0.03,0.1,0.1
0.31264495849609375,0.01,0.03,0.11,0.11
0.3218228816986084,0.01,0.03,0.11,0.11
0.3325779438018799,0.01,0.04,0.11,0.11
0.3423430919647217,0.01,0.03,0.11,0.11
0.3653218746185303,0.0,0.03,0.11,0.11
0.3667409420013428,0.01,0.03,0.09,0.09
0.3713700771331787,0.01,0.04,0.12,0.12
0.38170313835144043,0.0,0.04,0.17,0.17
0.3913609981536865,0.0,0.04,0.05,0.06
0.40282702445983887,0.01,0.04,0.13,0.13
0.41231513023376465,0.0,0.03,0.1,0.1
0.4222910404205322,0.02,0.02,0.04,0.04
0.4326808452606201,-0.01,0.04,0.14,0.14
0.4417710304260254,0.0,0.03,0.09,0.09
0.46422314643859863,0.01,0.04,0.09,0.09
0.46620893478393555,0.0,0.04,0.11,0.11
0.4710690975189209,0.0,0.04,0.1,0.1
0.4812910556793213,0.01,0.04,0.11,0.11
0.49132609367370605,0.0,0.03,0.08,0.08
0.5012259483337402,0.01,0.03,0.12,0.12
0.511063814163208,0.02,0.03,0.08,0.08
0.5225529670715332,-0.01,0.04,0.14,0.14
0.5320751667022705,0.0,0.03,0.1,0.1
0.5414659976959229,0.01,0.03,0.12,0.12
0.5639650821685791,-0.02,0.04,0.15,0.15
0.5662968158721924,-0.01,0.03,0.11,0.11
0.5706369876861572,0.01,0.02,0.07,0.07
0.5838620662689209,0.04,0.03,0.03,0.05
0.5907919406890869,0.03,0.03,0.09,0.09
0.6007511615753174,0.02,0.04,0.15,0.15
0.6120021343231201,0.01,0.03,0.12,0.12
0.6208820343017578,0.01,0.04,0.13,0.13
0.6316089630126953,0.06,0.04,0.11,0.13
0.6411111354827881,0.13,0.04,0.08,0.15
0.6618669033050537,0.77,0.01,0.14,0.78
0.663754940032959,0.1,-0.18,0.06,0.21
0.6701538562774658,-0.95,0.05,0.01,0.95
0.6840331554412842,-0.17,0.26,0.21,0.37
0.6905629634857178,0.08,-0.02,0.08,0.11
0.7003848552703857,-0.01,0.04,0.14,0.14
0.7102611064910889,0.04,0.04,0.13,0.14
0.7213280200958252,0.01,0.02,0.1,0.1
0.7314050197601318,0.04,0.02,0.13,0.13
0.7408111095428467,0.23,-0.03,0.11,0.25
0.7628250122070312,0.97,-0.14,0.16,0.99
0.7646279335021973,1.13,-0.04,0.17,1.14
